Done?,#,When,Area,What to do,Exactly what to change it to,Why,Mins
,1,Today,Profile,Fix the name field,Parimiti · Prosthetics & SFX,"Currently 'Parimitii' — misspelled, and at 56 characters it truncates on most phones. 28 chars fits.",2
,2,Today,Profile,Replace the bio,"Prosthetics & SFX for film and television
The Bengal Files · Rakht Brahmand · Johnson's
Sydney & Mumbai · Enquiries below",Current bio is six job titles in a list with no credits and nothing to act on. 121/150 chars.,3
,3,Today,Profile,Change the category,Special Effects,Currently 'Makeup Artist'. Changes who Instagram suggests the account to.,1
,4,Today,Profile,Add IMDb as a second link,https://www.imdb.com/name/nm12573944/,Instagram allows up to 5 links. Producers treat IMDb as the record. Website link is already correct.,2
,5,Today,Profile,Confirm the spelling of your name,Parimiti or Parimitii — tell us which,"Instagram says one, the credit inside your own post says the other. Needed before it goes on the website masthead.",1
,6,This week,Pinned posts,Pin 'The Track — Part 2',instagram.com/p/C-kV9u-ohdB/,"122,255 plays, your highest-reaching work by a wide margin, and it reads as film rather than a makeup clip.",1
,7,This week,Pinned posts,Pin 'The Saturation Point',instagram.com/p/C5JQN8ZPXe5/,You have a concept-and-direction credit on it. A director reads that as someone who understands coverage and lighting.,1
,8,This week,Pinned posts,Pin the lion prosthetics build,instagram.com/p/C55KEAJof-4/,"Lower reach, but the only post showing sculpt → mould → application on one piece. Answers 'can she build this' in 40 seconds.",1
,9,This week,Pinned posts,Unpin anything else currently pinned,—,A producer opening your profile should not land on whatever you happened to post last.,1
,10,This week,Cleanup,ARCHIVE: male silicone hand post,instagram.com/p/C9XTW0UM9iP/,"Caption carries Rahul Creations' phone number and website. Archive, do not delete — archiving is reversible.",2
,11,This week,Cleanup,ARCHIVE: pregnancy belly post,instagram.com/p/C9MGQ_7BMQQ/,Has RC pricing (Rs18000) and phone number. Routes enquiries to a business you have left.,2
,12,This week,Cleanup,ARCHIVE: RC_B_24 appliance post,instagram.com/p/C8wdlepgCKh/,Caption says 'DM us or call +91 7373290101'.,2
,13,This week,Cleanup,ARCHIVE: RC_M_54 appliance post,instagram.com/p/C8mSwOUsU3w/,Same RC phone number in the caption.,2
,14,This week,Cleanup,EDIT caption: budget appliance line (do NOT delete),instagram.com/p/C6GepXfqyH7/,"56,710 plays — your third-best reel ever. Keep the post, strip any RC contact details from the caption.",3
,15,This week,Cleanup,EDIT caption: appliance batch 2 and batch 3,instagram.com/p/C7oXD32prVT/ and /C7pKa7LONh0/,"The craft is yours and batch 3 names you directly. Remove RC contact details, keep the work.",4
,16,This week,Cleanup,Leave the lion prosthetics post alone,instagram.com/p/C55KEAJof-4/,Rahul is incidental to it and it is one of your three pinned posts.,0
,17,Next 2 weeks,Showreel,Confirm you have no existing cut reel,—,"If you have one we have not seen, send it — it changes the website's opening.",2
,18,Next 2 weeks,Showreel,Approve the proposed 60–75 second running order,See the Instagram plan document,Cold open → the sculpt-to-applied turn → range → on set → end card.,10
,19,Next 2 weeks,Showreel,Confirm model and photographer releases for the footage,—,"Showing a named actor's real face beside the character is a rights question, not a formality.",15
,20,Next 2 weeks,Showreel,Cut a 16:9 version as well as vertical,—,Vertical suits Instagram; producers watch on laptops.,0
,21,Next 2 weeks,Showreel,Pin the finished reel as a fourth pinned post,—,It becomes the website's opening too.,1
,22,Ongoing,Habit,Post a narrative piece every 6–8 weeks,—,"Narrative reels reach 22x everything else on your account (median 78,589 vs 3,504). The Track is two people and a camera.",0
,23,Ongoing,Habit,Stop posting raw process clips on their own,—,Your worst performer: 812 median plays. Fold the sculpt into a narrative piece as its first four seconds instead.,0
,24,Ongoing,Habit,Aim for 40–70 second reels,—,"40s+ median 11,231 plays. Under 20s median 1,277. Consistent across three years on your own account.",0
,25,Ongoing,Habit,"Write a real first line, not a hashtag string",—,Your Johnson's Baby post — full crew credited by name and role — is the best-written thing on the account and the format producers recognise.,0
,26,Ongoing,Habit,Tag the production and the crew,—,"How the work travels to people who hire, and it shows you know call-sheet etiquette.",0
,27,Ongoing,Habit,Keep using trigger warnings on graphic work,—,You already do this. It signals someone who thinks about where work is shown.,0
,28,Ongoing,Habit,Stop tracking follower count,—,"2,778 followers, best reel 122,255 plays — 44x. Reach comes from Explore, not your following. The metric that matters is whether a producer makes contact.",0
